,Product,Price,Original Price,Discount,Rating,Rating & reviews,Category,Sub category,brand
103,CF SPORTS Double Spring Tummy Trimmer-Waist Trimmer-Abs...,₹399,₹999,60% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,CF
104,dimpex sports Double Wheel Ab Exerciser with Padded Gri...,₹207,₹599,65% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,dimpex
105,Bhatia Sports AD7 Benson Sports Spin Bike with 10 kg Fl...,"₹13,789","₹25,999",46% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,Bhatia
106,DCS Pro 40 kg FITNESS PVC GYM SET + 5ft. Straight + 3ft...,"₹3,599","₹5,999",40% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,DCS
107,5 O' CLOCK SPORTS Combo of Gym and Fitness Kit Bodybuil...,₹739,"₹1,500",50% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,5
108,TRUE INDIAN Premium Quality Gym Shaker Bottle With Gym ...,₹349,₹999,65% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,TRUE
109,"TRUE INDIAN Gym Bag Combo with shaker Bottle,2IN1 Glove...",₹779,₹999,22% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,TRUE
110,5 O' CLOCK SPORTS Sports Gym and Fitness Kit Let The Ga...,₹589,"₹2,500",76% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,5
111,TRUE INDIAN Gym Shaker with Gym Gloves and Mini Gripper...,₹426,₹999,57% off,4,(5),"Sports, Fitness, and Outdoor",Sports Equipment,TRUE
112,HMFURRYS FINEST Sports & Fitness Duffle Bag with Gym Gl...,₹699,₹899,22% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,HMFURRYS
113,"Proactive Sports & Fitness Ab Wheel Exerciser, Push Up ...",₹399,"₹1,399",71% off,3.5,(10),"Sports, Fitness, and Outdoor",Sports Equipment,Proactive
114,YMD Sports & Fitness Royal Army Print Round Gym Bag Fit...,₹349,"₹1,999",82% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,YMD
115,FLEXYGRIP TUMMYTRIMMER Ab Exerciser,₹285,₹999,71% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,FLEXYGRIP
116,Swara sports fitnes Multipurpose Fitness Bench,"₹3,000","₹4,500",33% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,Swara
117,Swara sports fitnes S24 Multipurpose Fitness Bench,"₹3,800","₹6,000",36% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,Swara
118,Swara sports fitnes 64344 Multipurpose Fitness Bench,"₹2,700","₹7,999",66% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,Swara
119,Swara sports fitnes 0.5 kg 64344s Home Gym Combo,"₹4,680","₹7,999",41% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,Swara
