,Product,Price,Original Price,Discount,Rating,Rating & reviews,Category,Sub category,brand
124,OnePlus Nord Buds 3 with up to 32dB ANC Bluetooth,"₹2,299","₹2,799",17% off,4.3,"(2,756)",Electronics,Headphones,OnePlus
125,"realme Buds Air 6 Pro with 50dB ANC, 360 Spatial Audio ...","₹4,999","₹7,999",37% off,4.4,"(4,801)",Electronics,Headphones,realme
126,TIMBRESONIC Pod Lite Plus True Wireless Earbuds White B...,₹539,"₹2,799",80% off,3.7,(153),Electronics,Headphones,TIMBRESONIC
127,Blaupunkt BTW300 Xtreme True Wireless with Unstoppable ...,"₹1,599","₹5,999",73% off,4.2,(106),Electronics,Headphones,Blaupunkt
128,GUGGU NH-219 SH12 Headset Super Extra Bass Bluetooth He...,₹579,"₹1,149",49% off,4.2,(9),Electronics,Headphones,GUGGU
129,"Boult W10 55H Battery, 4 Mic ENC, Spatial Audio, 45ms L...",₹999,"₹2,499",60% off,4,"(5,026)",Electronics,Headphones,Boult
130,"Boston Levin Storm 9TWS,BT5.3,IPX5,ANC,32H of Playtime,...","₹1,399","₹8,999",84% off,3.6,(414),Electronics,Headphones,Boston
131,MEGABAR Saint 555 30HR IPX4 EMC Deep Bass HDMIC 10mm Dr...,₹407,"₹1,500",72% off,,,Electronics,Headphones,MEGABAR
132,"truke BTG Crystal Buds with Spatial Audio, Dual Pairing...",₹999,"₹3,499",71% off,4.9,(301),Electronics,Headphones,truke
133,"boAt Airdopes 71 w/ 40 HRS Playback, ENx Technology & B...",₹899,"₹3,990",77% off,3.9,"(71,864)",Electronics,Headphones,boAt
134,"Nilesawar X379 ARU-1128 ENC calling, 30 Hrs of Playtime...",₹389,"₹1,499",74% off,4.3,(16),Electronics,Headphones,Nilesawar
135,"Boult Z60 with 60Hr Battery, Quad Mic ENC, 50ms Ultra L...",₹999,"₹2,999",66% off,4.1,"(36,690)",Electronics,Headphones,Boult
136,AXL Ultron Earbuds Bluetooth,₹599,"₹1,499",60% off,4.3,(6),Electronics,Headphones,AXL
137,ajah Neckband Bluetooth Headset Fenton Bluetooth Headse...,₹399,₹899,55% off,,,Electronics,Headphones,ajah
138,"Boult Z40 with Zen ENC Mic, 60H Battery Life, Low Laten...",₹999,"₹4,999",80% off,4.1,"(3,10,952)",Electronics,Headphones,Boult
139,Clairbell NF-199 SH12 Headset Super Extra Bass Bluetoot...,₹579,"₹1,149",49% off,3.8,(13),Electronics,Headphones,Clairbell
140,uag urbn armour gear MUSIC & GAME series Bass sound Mat...,₹641,"₹2,499",74% off,3.7,(3),Electronics,Headphones,uag
141,"TMB D1 Mini TWS Buds 15hrs Playtime, BT5.2, Dual Mic, F...",₹569,"₹1,999",71% off,3.7,(3),Electronics,Headphones,TMB
142,"Boult Z40 Pro with 100H Battery, Quad Mic ENC, Scratch ...","₹1,299","₹5,499",76% off,4.1,"(95,464)",Electronics,Headphones,Boult
143,OnePlus Nord Buds 2r True Wireless in Ear Earbuds with ...,"₹1,999","₹2,299",13% off,4.3,"(1,47,619)",Electronics,Headphones,OnePlus
144,"Boult Y1 with Zen ENC Mic, 50H Battery, Fast Charging, ...",₹999,"₹5,499",81% off,4,"(4,28,027)",Electronics,Headphones,Boult
145,"Boult ProBass EQCharge with ZEN Mode ENC, 32hrs Playtim...",₹799,"₹4,499",82% off,3.9,"(1,32,496)",Electronics,Headphones,Boult
146,"Voods V Heads - Active IP65-Water&Dust Resistant, Noise...","₹1,709","₹5,549",69% off,4,(8),Electronics,Headphones,Voods
