,Unnamed: 0,Product,Price,Original Price,Discount,Rating,Rating & reviews,Category,Sub category,brand
77,77,PLUTOEX Knee Cap Support belt brace for Knee Pain Relie...,₹435,"₹1,999",78% off,4.3,(58),"Sports, Fitness, and Outdoor",Yoga Accessories,PLUTOEX
78,78,Flexnest Flexbangle ( 1lbs X 2 ) Adjustable Black Ankle...,"₹1,499","₹4,998",70% off,4.6,(12),"Sports, Fitness, and Outdoor",Yoga Accessories,Flexnest
79,79,Strauss Adjustable Knee Support Patella | Knee Cap | Kn...,₹299,₹799,62% off,3.9,"(8,719)","Sports, Fitness, and Outdoor",Yoga Accessories,Strauss
80,80,"Zoi-Ortho Lumbar sacral belt used for waist back pain ,...",₹290,₹699,58% off,3.8,(19),"Sports, Fitness, and Outdoor",Yoga Accessories,Zoi-Ortho
81,81,The Cube Posture Corrector Belt Support for Men & Women...,"₹1,299","₹1,899",31% off,4.7,(3),"Sports, Fitness, and Outdoor",Yoga Accessories,The
82,82,DreamPalace India Sweatband Wrist Band Wrist Support fo...,₹173,₹595,70% off,4.0,(254),"Sports, Fitness, and Outdoor",Yoga Accessories,DreamPalace
83,83,Verdure Premium Belt for Men and Women for Back Pain Po...,₹293,"₹1,699",82% off,3.7,(534),"Sports, Fitness, and Outdoor",Yoga Accessories,Verdure
84,84,PROURBAN Lumbo Sacral (L.S Belt) Corset- Back Pain Belt...,₹330,"₹1,099",69% off,4.1,(421),"Sports, Fitness, and Outdoor",Yoga Accessories,PROURBAN
85,85,BOLDFIT Ankle Support For Pain Relief Ankle Wrap Grip G...,₹649,"₹1,998",67% off,4.3,"(1,360)","Sports, Fitness, and Outdoor",Yoga Accessories,BOLDFIT
86,86,BoldFire Power Twister Bar - Upper Body Exercise for Ch...,₹348,₹999,65% off,3.8,(94),"Sports, Fitness, and Outdoor",Yoga Accessories,BoldFire
87,87,"SLIMMY 4 COMBO WRIST BAND FOR BOYS AND GIRLS , MEN & WO...",₹344,₹699,50% off,3.6,(9),"Sports, Fitness, and Outdoor",Yoga Accessories,SLIMMY
88,88,Koel Cricket Supporter M and Abdomen Support AD (Youth)...,₹289,₹999,71% off,4.0,(68),"Sports, Fitness, and Outdoor",Yoga Accessories,Koel
89,89,"divulge Achiever Daypack, Drawstring bag, Yoga Bag spor...",₹249,₹499,50% off,4.2,(740),"Sports, Fitness, and Outdoor",Yoga Accessories,divulge
90,90,"Joyfit Toning Tube, Exercise Tube with Door Anchor (10-...",₹289,"₹1,400",79% off,4.0,(116),"Sports, Fitness, and Outdoor",Yoga Accessories,Joyfit
91,91,"Draven Premium Fabric Loop Band/Exercises for Legs, Hip...",₹549,₹999,45% off,,,"Sports, Fitness, and Outdoor",Yoga Accessories,Draven
